slide_id,tile_id,comparison_label,method_a,method_b,abs_err_a,abs_err_b,delta_abs_err,hass_level,density_bin,gt_count,p_value_pairwise,holm_adjusted_p
external,18,segdecon_vs_spotiphy,segdecon,spotiphy,9.0,166.0,157.0,,Q3,37,0.00390625,0.01171875
external,18,segdecon_vs_stardist,segdecon,stardist,9.0,321.0,312.0,,Q3,37,0.00390625,0.01171875
external,18,spotiphy_vs_stardist,spotiphy,stardist,166.0,321.0,155.0,,Q3,37,0.0390625,0.0390625
external,19,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,65.0,62.0,,Q2,35,0.00390625,0.01171875
external,19,segdecon_vs_stardist,segdecon,stardist,3.0,135.0,132.0,,Q2,35,0.00390625,0.01171875
external,19,spotiphy_vs_stardist,spotiphy,stardist,65.0,135.0,70.0,,Q2,35,0.0078125,0.01171875
external,20,segdecon_vs_spotiphy,segdecon,spotiphy,2.0,31.0,29.0,,Q3,42,0.00390625,0.01171875
external,20,segdecon_vs_stardist,segdecon,stardist,2.0,28.0,26.0,,Q3,42,0.00390625,0.01171875
external,20,spotiphy_vs_stardist,spotiphy,stardist,31.0,28.0,-3.0,,Q3,42,0.0390625,0.0390625
external,21,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,27.0,23.0,,Q2,34,0.00390625,0.01171875
external,21,segdecon_vs_stardist,segdecon,stardist,4.0,15.0,11.0,,Q2,34,0.00390625,0.01171875
external,21,spotiphy_vs_stardist,spotiphy,stardist,27.0,15.0,-12.0,,Q2,34,0.0078125,0.01171875
external,22,segdecon_vs_spotiphy,segdecon,spotiphy,2.0,25.0,23.0,,Q3,41,0.00390625,0.01171875
external,22,segdecon_vs_stardist,segdecon,stardist,2.0,58.0,56.0,,Q3,41,0.00390625,0.01171875
external,22,spotiphy_vs_stardist,spotiphy,stardist,25.0,58.0,33.0,,Q3,41,0.0390625,0.0390625
external,23,segdecon_vs_spotiphy,segdecon,spotiphy,21.0,240.0,219.0,,Q2,31,0.00390625,0.01171875
external,23,segdecon_vs_stardist,segdecon,stardist,21.0,395.0,374.0,,Q2,31,0.00390625,0.01171875
external,23,spotiphy_vs_stardist,spotiphy,stardist,240.0,395.0,155.0,,Q2,31,0.0078125,0.01171875
external,24,segdecon_vs_spotiphy,segdecon,spotiphy,10.0,12.0,2.0,,Q3,39,0.00390625,0.01171875
external,24,segdecon_vs_stardist,segdecon,stardist,10.0,78.0,68.0,,Q3,39,0.00390625,0.01171875
